enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
# From "GZK Neutrinos after the Fermi-LAT Diffuse Photon Flux Measurement"
# M. Ahlers, et al, Astropart. Phys. 34 (2010) 106-115
# https://doi.org/10.1016/j.astropartphys.2010.06.003, https://arxiv.org/abs/1005.2620
# Fig 4, Emin = 1E18.5 (lower left panel)
6.796E+05,3.894E-24,3.894E-24,3.894E-24,3.894E-24,3.894E-24,3.894E-24
7.611E+05,3.572E-24,3.572E-24,3.572E-24,3.572E-24,3.572E-24,3.572E-24
8.272E+05,3.429E-24,3.429E-24,3.429E-24,3.429E-24,3.429E-24,3.429E-24
8.976E+05,3.298E-24,3.298E-24,3.298E-24,3.298E-24,3.298E-24,3.298E-24
1.007E+06,3.020E-24,3.020E-24,3.020E-24,3.020E-24,3.020E-24,3.020E-24
1.116E+06,2.871E-24,2.871E-24,2.871E-24,2.871E-24,2.871E-24,2.871E-24
1.200E+06,2.809E-24,2.809E-24,2.809E-24,2.809E-24,2.809E-24,2.809E-24
1.290E+06,2.748E-24,2.748E-24,2.748E-24,2.748E-24,2.748E-24,2.748E-24
1.422E+06,2.598E-24,2.598E-24,2.598E-24,2.598E-24,2.598E-24,2.598E-24
1.583E+06,2.382E-24,2.382E-24,2.382E-24,2.382E-24,2.382E-24,2.382E-24
1.694E+06,2.354E-24,2.354E-24,2.354E-24,2.354E-24,2.354E-24,2.354E-24
1.831E+06,2.261E-24,2.261E-24,2.261E-24,2.261E-24,2.261E-24,2.261E-24
1.964E+06,2.183E-24,2.183E-24,2.183E-24,2.183E-24,2.183E-24,2.183E-24
2.112E+06,2.159E-24,2.159E-24,2.159E-24,2.159E-24,2.159E-24,2.159E-24
2.402E+06,1.936E-24,1.936E-24,1.936E-24,1.936E-24,1.936E-24,1.936E-24
2.622E+06,1.851E-24,1.851E-24,1.851E-24,1.851E-24,1.851E-24,1.851E-24
2.806E+06,1.818E-24,1.818E-24,1.818E-24,1.818E-24,1.818E-24,1.818E-24
3.049E+06,1.784E-24,1.784E-24,1.784E-24,1.784E-24,1.784E-24,1.784E-24
3.499E+06,1.587E-24,1.587E-24,1.587E-24,1.587E-24,1.587E-24,1.587E-24
4.023E+06,1.454E-24,1.454E-24,1.454E-24,1.454E-24,1.454E-24,1.454E-24
4.510E+06,1.403E-24,1.403E-24,1.403E-24,1.403E-24,1.403E-24,1.403E-24
5.149E+06,1.283E-24,1.283E-24,1.283E-24,1.283E-24,1.283E-24,1.283E-24
5.944E+06,1.168E-24,1.168E-24,1.168E-24,1.168E-24,1.168E-24,1.168E-24
6.895E+06,1.043E-24,1.043E-24,1.043E-24,1.043E-24,1.043E-24,1.043E-24
8.062E+06,9.105E-25,9.105E-25,9.105E-25,9.105E-25,9.105E-25,9.105E-25
9.494E+06,7.827E-25,7.827E-25,7.827E-25,7.827E-25,7.827E-25,7.827E-25
1.109E+07,6.593E-25,6.593E-25,6.593E-25,6.593E-25,6.593E-25,6.593E-25
1.230E+07,6.049E-25,6.049E-25,6.049E-25,6.049E-25,6.049E-25,6.049E-25
1.416E+07,5.119E-25,5.119E-25,5.119E-25,5.119E-25,5.119E-25,5.119E-25
1.637E+07,4.445E-25,4.445E-25,4.445E-25,4.445E-25,4.445E-25,4.445E-25
1.889E+07,3.810E-25,3.810E-25,3.810E-25,3.810E-25,3.810E-25,3.810E-25
2.151E+07,3.324E-25,3.324E-25,3.324E-25,3.324E-25,3.324E-25,3.324E-25
2.448E+07,2.914E-25,2.914E-25,2.914E-25,2.914E-25,2.914E-25,2.914E-25
2.817E+07,2.512E-25,2.512E-25,2.512E-25,2.512E-25,2.512E-25,2.512E-25
3.203E+07,2.202E-25,2.202E-25,2.202E-25,2.202E-25,2.202E-25,2.202E-25
3.582E+07,1.975E-25,1.975E-25,1.975E-25,1.975E-25,1.975E-25,1.975E-25
4.072E+07,1.735E-25,1.735E-25,1.735E-25,1.735E-25,1.735E-25,1.735E-25
4.641E+07,1.514E-25,1.514E-25,1.514E-25,1.514E-25,1.514E-25,1.514E-25
5.144E+07,1.377E-25,1.377E-25,1.377E-25,1.377E-25,1.377E-25,1.377E-25
5.758E+07,1.238E-25,1.238E-25,1.238E-25,1.238E-25,1.238E-25,1.238E-25
6.617E+07,1.062E-25,1.062E-25,1.062E-25,1.062E-25,1.062E-25,1.062E-25
7.522E+07,9.339E-26,9.339E-26,9.339E-26,9.339E-26,9.339E-26,9.339E-26
8.261E+07,8.705E-26,8.705E-26,8.705E-26,8.705E-26,8.705E-26,8.705E-26
9.420E+07,7.640E-26,7.640E-26,7.640E-26,7.640E-26,7.640E-26,7.640E-26
1.089E+08,6.520E-26,6.520E-26,6.520E-26,6.520E-26,6.520E-26,6.520E-26
1.188E+08,6.180E-26,6.180E-26,6.180E-26,6.180E-26,6.180E-26,6.180E-26
1.355E+08,5.389E-26,5.389E-26,5.389E-26,5.389E-26,5.389E-26,5.389E-26
1.554E+08,4.901E-26,4.901E-26,4.901E-26,4.901E-26,4.901E-26,4.901E-26
1.769E+08,4.271E-26,4.271E-26,4.271E-26,4.271E-26,4.271E-26,4.271E-26
1.992E+08,3.817E-26,3.817E-26,3.817E-26,3.817E-26,3.817E-26,3.817E-26
2.181E+08,3.635E-26,3.635E-26,3.635E-26,3.635E-26,3.635E-26,3.635E-26
2.458E+08,3.137E-26,3.137E-26,3.137E-26,3.137E-26,3.137E-26,3.137E-26
2.789E+08,2.819E-26,2.819E-26,2.819E-26,2.819E-26,2.819E-26,2.819E-26
3.171E+08,2.473E-26,2.473E-26,2.473E-26,2.473E-26,2.473E-26,2.473E-26
3.658E+08,2.116E-26,2.116E-26,2.116E-26,2.116E-26,2.116E-26,2.116E-26
4.244E+08,1.784E-26,1.784E-26,1.784E-26,1.784E-26,1.784E-26,1.784E-26
4.907E+08,1.514E-26,1.514E-26,1.514E-26,1.514E-26,1.514E-26,1.514E-26
5.976E+08,1.166E-26,1.166E-26,1.166E-26,1.166E-26,1.166E-26,1.166E-26
7.300E+08,8.613E-27,8.613E-27,8.613E-27,8.613E-27,8.613E-27,8.613E-27
8.919E+08,6.198E-27,6.198E-27,6.198E-27,6.198E-27,6.198E-27,6.198E-27
1.090E+09,4.347E-27,4.347E-27,4.347E-27,4.347E-27,4.347E-27,4.347E-27
1.332E+09,2.976E-27,2.976E-27,2.976E-27,2.976E-27,2.976E-27,2.976E-27
1.627E+09,1.990E-27,1.990E-27,1.990E-27,1.990E-27,1.990E-27,1.990E-27
1.988E+09,1.311E-27,1.311E-27,1.311E-27,1.311E-27,1.311E-27,1.311E-27
2.430E+09,8.517E-28,8.517E-28,8.517E-28,8.517E-28,8.517E-28,8.517E-28
2.970E+09,5.465E-28,5.465E-28,5.465E-28,5.465E-28,5.465E-28,5.465E-28
3.630E+09,3.465E-28,3.465E-28,3.465E-28,3.465E-28,3.465E-28,3.465E-28
4.436E+09,2.183E-28,2.183E-28,2.183E-28,2.183E-28,2.183E-28,2.183E-28
5.422E+09,1.369E-28,1.369E-28,1.369E-28,1.369E-28,1.369E-28,1.369E-28
6.628E+09,8.548E-29,8.548E-29,8.548E-29,8.548E-29,8.548E-29,8.548E-29
8.101E+09,5.288E-29,5.288E-29,5.288E-29,5.288E-29,5.288E-29,5.288E-29
9.902E+09,3.264E-29,3.264E-29,3.264E-29,3.264E-29,3.264E-29,3.264E-29
1.210E+10,1.999E-29,1.999E-29,1.999E-29,1.999E-29,1.999E-29,1.999E-29
1.479E+10,1.216E-29,1.216E-29,1.216E-29,1.216E-29,1.216E-29,1.216E-29
1.809E+10,7.290E-30,7.290E-30,7.290E-30,7.290E-30,7.290E-30,7.290E-30
2.191E+10,4.413E-30,4.413E-30,4.413E-30,4.413E-30,4.413E-30,4.413E-30
2.582E+10,2.806E-30,2.806E-30,2.806E-30,2.806E-30,2.806E-30,2.806E-30
2.933E+10,1.941E-30,1.941E-30,1.941E-30,1.941E-30,1.941E-30,1.941E-30
3.417E+10,1.271E-30,1.271E-30,1.271E-30,1.271E-30,1.271E-30,1.271E-30
3.958E+10,8.325E-31,8.325E-31,8.325E-31,8.325E-31,8.325E-31,8.325E-31
4.503E+10,5.675E-31,5.675E-31,5.675E-31,5.675E-31,5.675E-31,5.675E-31
4.991E+10,4.125E-31,4.125E-31,4.125E-31,4.125E-31,4.125E-31,4.125E-31
5.560E+10,2.961E-31,2.961E-31,2.961E-31,2.961E-31,2.961E-31,2.961E-31
6.103E+10,2.178E-31,2.178E-31,2.178E-31,2.178E-31,2.178E-31,2.178E-31
6.744E+10,1.569E-31,1.569E-31,1.569E-31,1.569E-31,1.569E-31,1.569E-31
7.390E+10,1.150E-31,1.150E-31,1.150E-31,1.150E-31,1.150E-31,1.150E-31
8.033E+10,8.560E-32,8.560E-32,8.560E-32,8.560E-32,8.560E-32,8.560E-32
8.786E+10,6.266E-32,6.266E-32,6.266E-32,6.266E-32,6.266E-32,6.266E-32
9.464E+10,4.732E-32,4.732E-32,4.732E-32,4.732E-32,4.732E-32,4.732E-32
1.018E+11,3.605E-32,3.605E-32,3.605E-32,3.605E-32,3.605E-32,3.605E-32
1.061E+11,2.928E-32,2.928E-32,2.928E-32,2.928E-32,2.928E-32,2.928E-32
1.144E+11,2.203E-32,2.203E-32,2.203E-32,2.203E-32,2.203E-32,2.203E-32
1.233E+11,1.654E-32,1.654E-32,1.654E-32,1.654E-32,1.654E-32,1.654E-32
1.302E+11,1.300E-32,1.300E-32,1.300E-32,1.300E-32,1.300E-32,1.300E-32
1.402E+11,9.750E-33,9.750E-33,9.750E-33,9.750E-33,9.750E-33,9.750E-33
1.483E+11,7.594E-33,7.594E-33,7.594E-33,7.594E-33,7.594E-33,7.594E-33
1.553E+11,6.160E-33,6.160E-33,6.160E-33,6.160E-33,6.160E-33,6.160E-33
1.646E+11,4.850E-33,4.850E-33,4.850E-33,4.850E-33,4.850E-33,4.850E-33
1.734E+11,3.837E-33,3.837E-33,3.837E-33,3.837E-33,3.837E-33,3.837E-33
1.827E+11,3.026E-33,3.026E-33,3.026E-33,3.026E-33,3.026E-33,3.026E-33
1.930E+11,2.354E-33,2.354E-33,2.354E-33,2.354E-33,2.354E-33,2.354E-33
2.027E+11,1.841E-33,1.841E-33,1.841E-33,1.841E-33,1.841E-33,1.841E-33
2.111E+11,1.511E-33,1.511E-33,1.511E-33,1.511E-33,1.511E-33,1.511E-33
2.226E+11,1.188E-33,1.188E-33,1.188E-33,1.188E-33,1.188E-33,1.188E-33
2.372E+11,8.918E-34,8.918E-34,8.918E-34,8.918E-34,8.918E-34,8.918E-34
2.493E+11,6.889E-34,6.889E-34,6.889E-34,6.889E-34,6.889E-34,6.889E-34
2.608E+11,5.433E-34,5.433E-34,5.433E-34,5.433E-34,5.433E-34,5.433E-34
2.706E+11,4.524E-34,4.524E-34,4.524E-34,4.524E-34,4.524E-34,4.524E-34
2.778E+11,3.857E-34,3.857E-34,3.857E-34,3.857E-34,3.857E-34,3.857E-34
2.850E+11,3.158E-34,3.158E-34,3.158E-34,3.158E-34,3.158E-34,3.158E-34
2.984E+11,2.550E-34,2.550E-34,2.550E-34,2.550E-34,2.550E-34,2.550E-34
3.040E+11,2.175E-34,2.175E-34,2.175E-34,2.175E-34,2.175E-34,2.175E-34
3.256E+11,1.651E-34,1.651E-34,1.651E-34,1.651E-34,1.651E-34,1.651E-34
3.395E+11,1.270E-34,1.270E-34,1.270E-34,1.270E-34,1.270E-34,1.270E-34
3.636E+11,7.977E-35,7.977E-35,7.977E-35,7.977E-35,7.977E-35,7.977E-35
3.654E+11,9.113E-35,9.113E-35,9.113E-35,9.113E-35,9.113E-35,9.113E-35
3.828E+11,6.423E-35,6.423E-35,6.423E-35,6.423E-35,6.423E-35,6.423E-35
4.076E+11,4.759E-35,4.759E-35,4.759E-35,4.759E-35,4.759E-35,4.759E-35
4.192E+11,3.765E-35,3.765E-35,3.765E-35,3.765E-35,3.765E-35,3.765E-35
4.222E+11,3.262E-35,3.262E-35,3.262E-35,3.262E-35,3.262E-35,3.262E-35
4.451E+11,2.511E-35,2.511E-35,2.511E-35,2.511E-35,2.511E-35,2.511E-35
4.745E+11,1.820E-35,1.820E-35,1.820E-35,1.820E-35,1.820E-35,1.820E-35
4.778E+11,1.542E-35,1.542E-35,1.542E-35,1.542E-35,1.542E-35,1.542E-35
5.021E+11,1.184E-35,1.184E-35,1.184E-35,1.184E-35,1.184E-35,1.184E-35
5.246E+11,8.747E-36,8.747E-36,8.747E-36,8.747E-36,8.747E-36,8.747E-36
5.389E+11,7.126E-36,7.126E-36,7.126E-36,7.126E-36,7.126E-36,7.126E-36
5.557E+11,5.833E-36,5.833E-36,5.833E-36,5.833E-36,5.833E-36,5.833E-36
