enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
# From "Testing the Newborn Pulsar Origin of Ultrahigh Energy Cosmic Rays with EeV Neutrinos"
# K. Fang, et al, Phys Rev D (2010) 106-115
# https://journals.aps.org/prd/abstract/10.1103/PhysRevD.90.103005, https://arxiv.org/abs/1311.2044
# Fig 3, solid black line (uniform evolution)
1.579E+09,1.112E-28,1.112E-28,1.112E-28,1.112E-28,1.112E-28,1.112E-28
1.827E+09,7.670E-29,7.670E-29,7.670E-29,7.670E-29,7.670E-29,7.670E-29
2.049E+09,5.520E-29,5.520E-29,5.520E-29,5.520E-29,5.520E-29,5.520E-29
2.354E+09,3.885E-29,3.885E-29,3.885E-29,3.885E-29,3.885E-29,3.885E-29
2.620E+09,2.829E-29,2.829E-29,2.829E-29,2.829E-29,2.829E-29,2.829E-29
3.008E+09,1.989E-29,1.989E-29,1.989E-29,1.989E-29,1.989E-29,1.989E-29
3.319E+09,1.480E-29,1.480E-29,1.480E-29,1.480E-29,1.480E-29,1.480E-29
3.795E+09,1.020E-29,1.020E-29,1.020E-29,1.020E-29,1.020E-29,1.020E-29
4.250E+09,6.961E-30,6.961E-30,6.961E-30,6.961E-30,6.961E-30,6.961E-30
4.626E+09,5.161E-30,5.161E-30,5.161E-30,5.161E-30,5.161E-30,5.161E-30
5.015E+09,3.862E-30,3.862E-30,3.862E-30,3.862E-30,3.862E-30,3.862E-30
5.413E+09,2.919E-30,2.919E-30,2.919E-30,2.919E-30,2.919E-30,2.919E-30
5.781E+09,2.192E-30,2.192E-30,2.192E-30,2.192E-30,2.192E-30,2.192E-30
6.236E+09,1.624E-30,1.624E-30,1.624E-30,1.624E-30,1.624E-30,1.624E-30
6.629E+09,1.260E-30,1.260E-30,1.260E-30,1.260E-30,1.260E-30,1.260E-30
7.064E+09,9.742E-31,9.742E-31,9.742E-31,9.742E-31,9.742E-31,9.742E-31
7.977E+09,6.836E-31,6.836E-31,6.836E-31,6.836E-31,6.836E-31,6.836E-31
9.091E+09,4.738E-31,4.738E-31,4.738E-31,4.738E-31,4.738E-31,4.738E-31
1.020E+10,3.250E-31,3.250E-31,3.250E-31,3.250E-31,3.250E-31,3.250E-31
1.114E+10,2.380E-31,2.380E-31,2.380E-31,2.380E-31,2.380E-31,2.380E-31
1.144E+10,1.984E-31,1.984E-31,1.984E-31,1.984E-31,1.984E-31,1.984E-31
1.187E+10,1.604E-31,1.604E-31,1.604E-31,1.604E-31,1.604E-31,1.604E-31
1.235E+10,1.276E-31,1.276E-31,1.276E-31,1.276E-31,1.276E-31,1.276E-31
1.245E+10,1.084E-31,1.084E-31,1.084E-31,1.084E-31,1.084E-31,1.084E-31
