enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
8.12E+05,2.66E-24,2.66E-24,2.66E-24,2.66E-24,2.66E-24,2.66E-24
8.94E+05,2.45E-24,2.45E-24,2.45E-24,2.45E-24,2.45E-24,2.45E-24
9.64E+05,2.40E-24,2.40E-24,2.40E-24,2.40E-24,2.40E-24,2.40E-24
1.02E+06,2.43E-24,2.43E-24,2.43E-24,2.43E-24,2.43E-24,2.43E-24
1.13E+06,2.30E-24,2.30E-24,2.30E-24,2.30E-24,2.30E-24,2.30E-24
1.27E+06,2.09E-24,2.09E-24,2.09E-24,2.09E-24,2.09E-24,2.09E-24
1.35E+06,2.13E-24,2.13E-24,2.13E-24,2.13E-24,2.13E-24,2.13E-24
1.50E+06,2.00E-24,2.00E-24,2.00E-24,2.00E-24,2.00E-24,2.00E-24
1.67E+06,1.90E-24,1.90E-24,1.90E-24,1.90E-24,1.90E-24,1.90E-24
1.79E+06,1.93E-24,1.93E-24,1.93E-24,1.93E-24,1.93E-24,1.93E-24
2.02E+06,1.67E-24,1.67E-24,1.67E-24,1.67E-24,1.67E-24,1.67E-24
2.22E+06,1.60E-24,1.60E-24,1.60E-24,1.60E-24,1.60E-24,1.60E-24
2.46E+06,1.52E-24,1.52E-24,1.52E-24,1.52E-24,1.52E-24,1.52E-24
2.69E+06,1.48E-24,1.48E-24,1.48E-24,1.48E-24,1.48E-24,1.48E-24
3.07E+06,1.32E-24,1.32E-24,1.32E-24,1.32E-24,1.32E-24,1.32E-24
3.50E+06,1.18E-24,1.18E-24,1.18E-24,1.18E-24,1.18E-24,1.18E-24
3.69E+06,1.20E-24,1.20E-24,1.20E-24,1.20E-24,1.20E-24,1.20E-24
4.15E+06,1.05E-24,1.05E-24,1.05E-24,1.05E-24,1.05E-24,1.05E-24
4.64E+06,9.69E-25,9.69E-25,9.69E-25,9.69E-25,9.69E-25,9.69E-25
5.12E+06,8.96E-25,8.96E-25,8.96E-25,8.96E-25,8.96E-25,8.96E-25
5.66E+06,8.27E-25,8.27E-25,8.27E-25,8.27E-25,8.27E-25,8.27E-25
6.30E+06,7.53E-25,7.53E-25,7.53E-25,7.53E-25,7.53E-25,7.53E-25
7.07E+06,6.71E-25,6.71E-25,6.71E-25,6.71E-25,6.71E-25,6.71E-25
7.94E+06,5.95E-25,5.95E-25,5.95E-25,5.95E-25,5.95E-25,5.95E-25
8.92E+06,5.24E-25,5.24E-25,5.24E-25,5.24E-25,5.24E-25,5.24E-25
1.00E+07,4.59E-25,4.59E-25,4.59E-25,4.59E-25,4.59E-25,4.59E-25
1.14E+07,3.94E-25,3.94E-25,3.94E-25,3.94E-25,3.94E-25,3.94E-25
1.31E+07,3.39E-25,3.39E-25,3.39E-25,3.39E-25,3.39E-25,3.39E-25
1.49E+07,2.93E-25,2.93E-25,2.93E-25,2.93E-25,2.93E-25,2.93E-25
1.70E+07,2.54E-25,2.54E-25,2.54E-25,2.54E-25,2.54E-25,2.54E-25
1.91E+07,2.26E-25,2.26E-25,2.26E-25,2.26E-25,2.26E-25,2.26E-25
2.17E+07,2.00E-25,2.00E-25,2.00E-25,2.00E-25,2.00E-25,2.00E-25
2.39E+07,1.85E-25,1.85E-25,1.85E-25,1.85E-25,1.85E-25,1.85E-25
2.64E+07,1.71E-25,1.71E-25,1.71E-25,1.71E-25,1.71E-25,1.71E-25
2.94E+07,1.58E-25,1.58E-25,1.58E-25,1.58E-25,1.58E-25,1.58E-25
3.35E+07,1.41E-25,1.41E-25,1.41E-25,1.41E-25,1.41E-25,1.41E-25
3.68E+07,1.35E-25,1.35E-25,1.35E-25,1.35E-25,1.35E-25,1.35E-25
4.05E+07,1.25E-25,1.25E-25,1.25E-25,1.25E-25,1.25E-25,1.25E-25
4.42E+07,1.18E-25,1.18E-25,1.18E-25,1.18E-25,1.18E-25,1.18E-25
4.83E+07,1.11E-25,1.11E-25,1.11E-25,1.11E-25,1.11E-25,1.11E-25
5.13E+07,1.13E-25,1.13E-25,1.13E-25,1.13E-25,1.13E-25,1.13E-25
5.96E+07,9.82E-26,9.82E-26,9.82E-26,9.82E-26,9.82E-26,9.82E-26
6.73E+07,9.22E-26,9.22E-26,9.22E-26,9.22E-26,9.22E-26,9.22E-26
7.28E+07,9.08E-26,9.08E-26,9.08E-26,9.08E-26,9.08E-26,9.08E-26
8.27E+07,8.27E-26,8.27E-26,8.27E-26,8.27E-26,8.27E-26,8.27E-26
9.37E+07,7.73E-26,7.73E-26,7.73E-26,7.73E-26,7.73E-26,7.73E-26
1.04E+08,7.35E-26,7.35E-26,7.35E-26,7.35E-26,7.35E-26,7.35E-26
1.20E+08,6.36E-26,6.36E-26,6.36E-26,6.36E-26,6.36E-26,6.36E-26
1.34E+08,6.06E-26,6.06E-26,6.06E-26,6.06E-26,6.06E-26,6.06E-26
1.49E+08,5.60E-26,5.60E-26,5.60E-26,5.60E-26,5.60E-26,5.60E-26
1.64E+08,5.33E-26,5.33E-26,5.33E-26,5.33E-26,5.33E-26,5.33E-26
1.80E+08,5.01E-26,5.01E-26,5.01E-26,5.01E-26,5.01E-26,5.01E-26
1.96E+08,4.75E-26,4.75E-26,4.75E-26,4.75E-26,4.75E-26,4.75E-26
2.16E+08,4.36E-26,4.36E-26,4.36E-26,4.36E-26,4.36E-26,4.36E-26
2.39E+08,4.03E-26,4.03E-26,4.03E-26,4.03E-26,4.03E-26,4.03E-26
2.65E+08,3.67E-26,3.67E-26,3.67E-26,3.67E-26,3.67E-26,3.67E-26
2.93E+08,3.36E-26,3.36E-26,3.36E-26,3.36E-26,3.36E-26,3.36E-26
3.24E+08,3.05E-26,3.05E-26,3.05E-26,3.05E-26,3.05E-26,3.05E-26
3.64E+08,2.69E-26,2.69E-26,2.69E-26,2.69E-26,2.69E-26,2.69E-26
4.11E+08,2.36E-26,2.36E-26,2.36E-26,2.36E-26,2.36E-26,2.36E-26
4.74E+08,1.97E-26,1.97E-26,1.97E-26,1.97E-26,1.97E-26,1.97E-26
5.48E+08,1.66E-26,1.66E-26,1.66E-26,1.66E-26,1.66E-26,1.66E-26
6.60E+08,1.27E-26,1.27E-26,1.27E-26,1.27E-26,1.27E-26,1.27E-26
7.92E+08,9.52E-27,9.52E-27,9.52E-27,9.52E-27,9.52E-27,9.52E-27
9.50E+08,6.95E-27,6.95E-27,6.95E-27,6.95E-27,6.95E-27,6.95E-27
1.14E+09,4.96E-27,4.96E-27,4.96E-27,4.96E-27,4.96E-27,4.96E-27
1.37E+09,3.48E-27,3.48E-27,3.48E-27,3.48E-27,3.48E-27,3.48E-27
1.64E+09,2.39E-27,2.39E-27,2.39E-27,2.39E-27,2.39E-27,2.39E-27
1.97E+09,1.63E-27,1.63E-27,1.63E-27,1.63E-27,1.63E-27,1.63E-27
2.36E+09,1.09E-27,1.09E-27,1.09E-27,1.09E-27,1.09E-27,1.09E-27
2.83E+09,7.23E-28,7.23E-28,7.23E-28,7.23E-28,7.23E-28,7.23E-28
3.40E+09,4.77E-28,4.77E-28,4.77E-28,4.77E-28,4.77E-28,4.77E-28
4.08E+09,3.12E-28,3.12E-28,3.12E-28,3.12E-28,3.12E-28,3.12E-28
4.89E+09,2.03E-28,2.03E-28,2.03E-28,2.03E-28,2.03E-28,2.03E-28
5.87E+09,1.32E-28,1.32E-28,1.32E-28,1.32E-28,1.32E-28,1.32E-28
7.04E+09,8.56E-29,8.56E-29,8.56E-29,8.56E-29,8.56E-29,8.56E-29
8.45E+09,5.52E-29,5.52E-29,5.52E-29,5.52E-29,5.52E-29,5.52E-29
1.01E+10,3.55E-29,3.55E-29,3.55E-29,3.55E-29,3.55E-29,3.55E-29
1.22E+10,2.27E-29,2.27E-29,2.27E-29,2.27E-29,2.27E-29,2.27E-29
1.46E+10,1.43E-29,1.43E-29,1.43E-29,1.43E-29,1.43E-29,1.43E-29
1.73E+10,9.13E-30,9.13E-30,9.13E-30,9.13E-30,9.13E-30,9.13E-30
1.95E+10,6.56E-30,6.56E-30,6.56E-30,6.56E-30,6.56E-30,6.56E-30
2.28E+10,4.37E-30,4.37E-30,4.37E-30,4.37E-30,4.37E-30,4.37E-30
2.68E+10,2.82E-30,2.82E-30,2.82E-30,2.82E-30,2.82E-30,2.82E-30
3.12E+10,1.86E-30,1.86E-30,1.86E-30,1.86E-30,1.86E-30,1.86E-30
3.56E+10,1.27E-30,1.27E-30,1.27E-30,1.27E-30,1.27E-30,1.27E-30
4.00E+10,9.02E-31,9.02E-31,9.02E-31,9.02E-31,9.02E-31,9.02E-31
