enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
# From "Testing the Newborn Pulsar Origin of Ultrahigh Energy Cosmic Rays with EeV Neutrinos"
# K. Fang, et al, Phys Rev D (2010) 106-115
# https://journals.aps.org/prd/abstract/10.1103/PhysRevD.90.103005, https://arxiv.org/abs/1311.2044
# Fig 3, solid blue line (evolution based on SFR)
2.692E+08,2.896E-26,2.896E-26,2.896E-26,2.896E-26,2.896E-26,2.896E-26
3.180E+08,2.057E-26,2.057E-26,2.057E-26,2.057E-26,2.057E-26,2.057E-26
3.756E+08,1.446E-26,1.446E-26,1.446E-26,1.446E-26,1.446E-26,1.446E-26
4.436E+08,1.002E-26,1.002E-26,1.002E-26,1.002E-26,1.002E-26,1.002E-26
5.240E+08,6.867E-27,6.867E-27,6.867E-27,6.867E-27,6.867E-27,6.867E-27
6.189E+08,4.690E-27,4.690E-27,4.690E-27,4.690E-27,4.690E-27,4.690E-27
7.310E+08,3.195E-27,3.195E-27,3.195E-27,3.195E-27,3.195E-27,3.195E-27
8.634E+08,2.160E-27,2.160E-27,2.160E-27,2.160E-27,2.160E-27,2.160E-27
1.020E+09,1.450E-27,1.450E-27,1.450E-27,1.450E-27,1.450E-27,1.450E-27
1.204E+09,9.632E-28,9.632E-28,9.632E-28,9.632E-28,9.632E-28,9.632E-28
1.423E+09,6.332E-28,6.332E-28,6.332E-28,6.332E-28,6.332E-28,6.332E-28
1.680E+09,4.156E-28,4.156E-28,4.156E-28,4.156E-28,4.156E-28,4.156E-28
1.898E+09,2.909E-28,2.909E-28,2.909E-28,2.909E-28,2.909E-28,2.909E-28
2.186E+09,2.024E-28,2.024E-28,2.024E-28,2.024E-28,2.024E-28,2.024E-28
2.407E+09,1.503E-28,1.503E-28,1.503E-28,1.503E-28,1.503E-28,1.503E-28
2.744E+09,1.042E-28,1.042E-28,1.042E-28,1.042E-28,1.042E-28,1.042E-28
3.100E+09,7.056E-29,7.056E-29,7.056E-29,7.056E-29,7.056E-29,7.056E-29
3.460E+09,4.883E-29,4.883E-29,4.883E-29,4.883E-29,4.883E-29,4.883E-29
3.855E+09,3.414E-29,3.414E-29,3.414E-29,3.414E-29,3.414E-29,3.414E-29
4.197E+09,2.509E-29,2.509E-29,2.509E-29,2.509E-29,2.509E-29,2.509E-29
4.552E+09,1.878E-29,1.878E-29,1.878E-29,1.878E-29,1.878E-29,1.878E-29
4.980E+09,1.387E-29,1.387E-29,1.387E-29,1.387E-29,1.387E-29,1.387E-29
5.439E+09,1.030E-29,1.030E-29,1.030E-29,1.030E-29,1.030E-29,1.030E-29
5.937E+09,7.599E-30,7.599E-30,7.599E-30,7.599E-30,7.599E-30,7.599E-30
6.366E+09,5.653E-30,5.653E-30,5.653E-30,5.653E-30,5.653E-30,5.653E-30
6.896E+09,4.192E-30,4.192E-30,4.192E-30,4.192E-30,4.192E-30,4.192E-30
7.396E+09,3.205E-30,3.205E-30,3.205E-30,3.205E-30,3.205E-30,3.205E-30
7.925E+09,2.449E-30,2.449E-30,2.449E-30,2.449E-30,2.449E-30,2.449E-30
8.451E+09,1.888E-30,1.888E-30,1.888E-30,1.888E-30,1.888E-30,1.888E-30
8.980E+09,1.471E-30,1.471E-30,1.471E-30,1.471E-30,1.471E-30,1.471E-30
9.480E+09,1.158E-30,1.158E-30,1.158E-30,1.158E-30,1.158E-30,1.158E-30
9.988E+09,9.154E-31,9.154E-31,9.154E-31,9.154E-31,9.154E-31,9.154E-31
1.033E+10,7.487E-31,7.487E-31,7.487E-31,7.487E-31,7.487E-31,7.487E-31
1.085E+10,5.929E-31,5.929E-31,5.929E-31,5.929E-31,5.929E-31,5.929E-31
1.133E+10,4.787E-31,4.787E-31,4.787E-31,4.787E-31,4.787E-31,4.787E-31
1.173E+10,3.906E-31,3.906E-31,3.906E-31,3.906E-31,3.906E-31,3.906E-31
1.207E+10,3.169E-31,3.169E-31,3.169E-31,3.169E-31,3.169E-31,3.169E-31
1.251E+10,2.544E-31,2.544E-31,2.544E-31,2.544E-31,2.544E-31,2.544E-31
1.297E+10,2.067E-31,2.067E-31,2.067E-31,2.067E-31,2.067E-31,2.067E-31
1.334E+10,1.709E-31,1.709E-31,1.709E-31,1.709E-31,1.709E-31,1.709E-31
1.371E+10,1.425E-31,1.425E-31,1.425E-31,1.425E-31,1.425E-31,1.425E-31
1.410E+10,1.189E-31,1.189E-31,1.189E-31,1.189E-31,1.189E-31,1.189E-31
1.449E+10,9.916E-32,9.916E-32,9.916E-32,9.916E-32,9.916E-32,9.916E-32
1.499E+10,8.085E-32,8.085E-32,8.085E-32,8.085E-32,8.085E-32,8.085E-32
1.517E+10,7.373E-32,7.373E-32,7.373E-32,7.373E-32,7.373E-32,7.373E-32
