enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
2.027E+09,7.406E-28,7.406E-28,7.406E-28,7.406E-28,7.406E-28,7.406E-28
2.477E+09,4.835E-28,4.835E-28,4.835E-28,4.835E-28,4.835E-28,4.835E-28
3.027E+09,3.117E-28,3.117E-28,3.117E-28,3.117E-28,3.117E-28,3.117E-28
3.699E+09,1.982E-28,1.982E-28,1.982E-28,1.982E-28,1.982E-28,1.982E-28
4.521E+09,1.249E-28,1.249E-28,1.249E-28,1.249E-28,1.249E-28,1.249E-28
5.524E+09,7.817E-29,7.817E-29,7.817E-29,7.817E-29,7.817E-29,7.817E-29
6.751E+09,4.862E-29,4.862E-29,4.862E-29,4.862E-29,4.862E-29,4.862E-29
8.250E+09,3.003E-29,3.003E-29,3.003E-29,3.003E-29,3.003E-29,3.003E-29
1.008E+10,1.844E-29,1.844E-29,1.844E-29,1.844E-29,1.844E-29,1.844E-29
1.232E+10,1.124E-29,1.124E-29,1.124E-29,1.124E-29,1.124E-29,1.124E-29
1.506E+10,6.824E-30,6.824E-30,6.824E-30,6.824E-30,6.824E-30,6.824E-30
1.840E+10,4.087E-30,4.087E-30,4.087E-30,4.087E-30,4.087E-30,4.087E-30
2.228E+10,2.474E-30,2.474E-30,2.474E-30,2.474E-30,2.474E-30,2.474E-30
2.636E+10,1.568E-30,1.568E-30,1.568E-30,1.568E-30,1.568E-30,1.568E-30
3.032E+10,1.050E-30,1.050E-30,1.050E-30,1.050E-30,1.050E-30,1.050E-30
3.535E+10,6.827E-31,6.827E-31,6.827E-31,6.827E-31,6.827E-31,6.827E-31
4.093E+10,4.495E-31,4.495E-31,4.495E-31,4.495E-31,4.495E-31,4.495E-31
4.661E+10,3.055E-31,3.055E-31,3.055E-31,3.055E-31,3.055E-31,3.055E-31
5.248E+10,2.138E-31,2.138E-31,2.138E-31,2.138E-31,2.138E-31,2.138E-31
5.854E+10,1.518E-31,1.518E-31,1.518E-31,1.518E-31,1.518E-31,1.518E-31
6.525E+10,1.077E-31,1.077E-31,1.077E-31,1.077E-31,1.077E-31,1.077E-31
7.089E+10,8.119E-32,8.119E-32,8.119E-32,8.119E-32,8.119E-32,8.119E-32
7.765E+10,6.015E-32,6.015E-32,6.015E-32,6.015E-32,6.015E-32,6.015E-32
8.506E+10,4.387E-32,4.387E-32,4.387E-32,4.387E-32,4.387E-32,4.387E-32
9.233E+10,3.269E-32,3.269E-32,3.269E-32,3.269E-32,3.269E-32,3.269E-32
9.932E+10,2.517E-32,2.517E-32,2.517E-32,2.517E-32,2.517E-32,2.517E-32
1.068E+11,1.924E-32,1.924E-32,1.924E-32,1.924E-32,1.924E-32,1.924E-32
1.122E+11,1.537E-32,1.537E-32,1.537E-32,1.537E-32,1.537E-32,1.537E-32
1.197E+11,1.189E-32,1.189E-32,1.189E-32,1.189E-32,1.189E-32,1.189E-32
1.290E+11,8.962E-33,8.962E-33,8.962E-33,8.962E-33,8.962E-33,8.962E-33
1.386E+11,6.753E-33,6.753E-33,6.753E-33,6.753E-33,6.753E-33,6.753E-33
1.464E+11,5.322E-33,5.322E-33,5.322E-33,5.322E-33,5.322E-33,5.322E-33
1.552E+11,4.200E-33,4.200E-33,4.200E-33,4.200E-33,4.200E-33,4.200E-33
1.625E+11,3.416E-33,3.416E-33,3.416E-33,3.416E-33,3.416E-33,3.416E-33
1.721E+11,2.700E-33,2.700E-33,2.700E-33,2.700E-33,2.700E-33,2.700E-33
1.812E+11,2.152E-33,2.152E-33,2.152E-33,2.152E-33,2.152E-33,2.152E-33
1.914E+11,1.686E-33,1.686E-33,1.686E-33,1.686E-33,1.686E-33,1.686E-33
2.022E+11,1.317E-33,1.317E-33,1.317E-33,1.317E-33,1.317E-33,1.317E-33
2.099E+11,1.070E-33,1.070E-33,1.070E-33,1.070E-33,1.070E-33,1.070E-33
2.187E+11,8.716E-34,8.716E-34,8.716E-34,8.716E-34,8.716E-34,8.716E-34
2.297E+11,6.857E-34,6.857E-34,6.857E-34,6.857E-34,6.857E-34,6.857E-34
2.435E+11,5.198E-34,5.198E-34,5.198E-34,5.198E-34,5.198E-34,5.198E-34
2.521E+11,4.308E-34,4.308E-34,4.308E-34,4.308E-34,4.308E-34,4.308E-34
2.608E+11,3.509E-34,3.509E-34,3.509E-34,3.509E-34,3.509E-34,3.509E-34
2.847E+11,2.511E-34,2.511E-34,2.511E-34,2.511E-34,2.511E-34,2.511E-34
2.944E+11,2.059E-34,2.059E-34,2.059E-34,2.059E-34,2.059E-34,2.059E-34
3.059E+11,1.676E-34,1.676E-34,1.676E-34,1.676E-34,1.676E-34,1.676E-34
3.229E+11,1.351E-34,1.351E-34,1.351E-34,1.351E-34,1.351E-34,1.351E-34
3.320E+11,1.128E-34,1.128E-34,1.128E-34,1.128E-34,1.128E-34,1.128E-34
3.372E+11,9.114E-35,9.114E-35,9.114E-35,9.114E-35,9.114E-35,9.114E-35
3.530E+11,6.823E-35,6.823E-35,6.823E-35,6.823E-35,6.823E-35,6.823E-35
3.661E+11,5.354E-35,5.354E-35,5.354E-35,5.354E-35,5.354E-35,5.354E-35
3.922E+11,3.980E-35,3.980E-35,3.980E-35,3.980E-35,3.980E-35,3.980E-35
4.096E+11,3.101E-35,3.101E-35,3.101E-35,3.101E-35,3.101E-35,3.101E-35
4.205E+11,2.606E-35,2.606E-35,2.606E-35,2.606E-35,2.606E-35,2.606E-35
4.320E+11,2.125E-35,2.125E-35,2.125E-35,2.125E-35,2.125E-35,2.125E-35
4.468E+11,1.630E-35,1.630E-35,1.630E-35,1.630E-35,1.630E-35,1.630E-35
4.693E+11,1.265E-35,1.265E-35,1.265E-35,1.265E-35,1.265E-35,1.265E-35
4.746E+11,1.067E-35,1.067E-35,1.067E-35,1.067E-35,1.067E-35,1.067E-35
5.015E+11,8.345E-36,8.345E-36,8.345E-36,8.345E-36,8.345E-36,8.345E-36
5.146E+11,6.723E-36,6.723E-36,6.723E-36,6.723E-36,6.723E-36,6.723E-36
