enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
2.088E+05,4.081E-23,4.081E-23,4.081E-23,4.081E-23,4.081E-23,4.081E-23
2.463E+05,3.277E-23,3.277E-23,3.277E-23,3.277E-23,3.277E-23,3.277E-23
2.844E+05,2.917E-23,2.917E-23,2.917E-23,2.917E-23,2.917E-23,2.917E-23
3.169E+05,2.692E-23,2.692E-23,2.692E-23,2.692E-23,2.692E-23,2.692E-23
3.444E+05,2.590E-23,2.590E-23,2.590E-23,2.590E-23,2.590E-23,2.590E-23
3.836E+05,2.348E-23,2.348E-23,2.348E-23,2.348E-23,2.348E-23,2.348E-23
4.094E+05,2.396E-23,2.396E-23,2.396E-23,2.396E-23,2.396E-23,2.396E-23
4.444E+05,2.259E-23,2.259E-23,2.259E-23,2.259E-23,2.259E-23,2.259E-23
4.780E+05,2.252E-23,2.252E-23,2.252E-23,2.252E-23,2.252E-23,2.252E-23
5.152E+05,2.201E-23,2.201E-23,2.201E-23,2.201E-23,2.201E-23,2.201E-23
5.585E+05,2.112E-23,2.112E-23,2.112E-23,2.112E-23,2.112E-23,2.112E-23
5.924E+05,2.124E-23,2.124E-23,2.124E-23,2.124E-23,2.124E-23,2.124E-23
6.456E+05,2.053E-23,2.053E-23,2.053E-23,2.053E-23,2.053E-23,2.053E-23
6.853E+05,2.045E-23,2.045E-23,2.045E-23,2.045E-23,2.045E-23,2.045E-23
7.372E+05,2.010E-23,2.010E-23,2.010E-23,2.010E-23,2.010E-23,2.010E-23
8.034E+05,1.941E-23,1.941E-23,1.941E-23,1.941E-23,1.941E-23,1.941E-23
8.528E+05,1.935E-23,1.935E-23,1.935E-23,1.935E-23,1.935E-23,1.935E-23
9.351E+05,1.840E-23,1.840E-23,1.840E-23,1.840E-23,1.840E-23,1.840E-23
9.816E+05,1.891E-23,1.891E-23,1.891E-23,1.891E-23,1.891E-23,1.891E-23
1.067E+06,1.803E-23,1.803E-23,1.803E-23,1.803E-23,1.803E-23,1.803E-23
1.148E+06,1.770E-23,1.770E-23,1.770E-23,1.770E-23,1.770E-23,1.770E-23
1.222E+06,1.779E-23,1.779E-23,1.779E-23,1.779E-23,1.779E-23,1.779E-23
1.314E+06,1.735E-23,1.735E-23,1.735E-23,1.735E-23,1.735E-23,1.735E-23
1.415E+06,1.701E-23,1.701E-23,1.701E-23,1.701E-23,1.701E-23,1.701E-23
1.546E+06,1.622E-23,1.622E-23,1.622E-23,1.622E-23,1.622E-23,1.622E-23
1.680E+06,1.580E-23,1.580E-23,1.580E-23,1.580E-23,1.580E-23,1.580E-23
1.826E+06,1.533E-23,1.533E-23,1.533E-23,1.533E-23,1.533E-23,1.533E-23
1.996E+06,1.449E-23,1.449E-23,1.449E-23,1.449E-23,1.449E-23,1.449E-23
2.168E+06,1.397E-23,1.397E-23,1.397E-23,1.397E-23,1.397E-23,1.397E-23
2.379E+06,1.337E-23,1.337E-23,1.337E-23,1.337E-23,1.337E-23,1.337E-23
2.649E+06,1.249E-23,1.249E-23,1.249E-23,1.249E-23,1.249E-23,1.249E-23
2.950E+06,1.148E-23,1.148E-23,1.148E-23,1.148E-23,1.148E-23,1.148E-23
3.211E+06,1.100E-23,1.100E-23,1.100E-23,1.100E-23,1.100E-23,1.100E-23
3.586E+06,1.010E-23,1.010E-23,1.010E-23,1.010E-23,1.010E-23,1.010E-23
4.087E+06,9.002E-24,9.002E-24,9.002E-24,9.002E-24,9.002E-24,9.002E-24
4.576E+06,8.161E-24,8.161E-24,8.161E-24,8.161E-24,8.161E-24,8.161E-24
5.112E+06,7.375E-24,7.375E-24,7.375E-24,7.375E-24,7.375E-24,7.375E-24
5.832E+06,6.455E-24,6.455E-24,6.455E-24,6.455E-24,6.455E-24,6.455E-24
6.744E+06,5.441E-24,5.441E-24,5.441E-24,5.441E-24,5.441E-24,5.441E-24
7.709E+06,4.655E-24,4.655E-24,4.655E-24,4.655E-24,4.655E-24,4.655E-24
9.041E+06,3.737E-24,3.737E-24,3.737E-24,3.737E-24,3.737E-24,3.737E-24
1.117E+07,2.722E-24,2.722E-24,2.722E-24,2.722E-24,2.722E-24,2.722E-24
1.379E+07,1.921E-24,1.921E-24,1.921E-24,1.921E-24,1.921E-24,1.921E-24
1.668E+07,1.371E-24,1.371E-24,1.371E-24,1.371E-24,1.371E-24,1.371E-24
2.038E+07,9.335E-25,9.335E-25,9.335E-25,9.335E-25,9.335E-25,9.335E-25
2.491E+07,6.193E-25,6.193E-25,6.193E-25,6.193E-25,6.193E-25,6.193E-25
3.043E+07,4.127E-25,4.127E-25,4.127E-25,4.127E-25,4.127E-25,4.127E-25
3.719E+07,2.693E-25,2.693E-25,2.693E-25,2.693E-25,2.693E-25,2.693E-25
4.736E+07,1.690E-25,1.690E-25,1.690E-25,1.690E-25,1.690E-25,1.690E-25
5.988E+07,1.096E-25,1.096E-25,1.096E-25,1.096E-25,1.096E-25,1.096E-25
7.287E+07,8.015E-26,8.015E-26,8.015E-26,8.015E-26,8.015E-26,8.015E-26
8.813E+07,6.093E-26,6.093E-26,6.093E-26,6.093E-26,6.093E-26,6.093E-26
1.065E+08,4.620E-26,4.620E-26,4.620E-26,4.620E-26,4.620E-26,4.620E-26
1.235E+08,3.895E-26,3.895E-26,3.895E-26,3.895E-26,3.895E-26,3.895E-26
1.406E+08,3.400E-26,3.400E-26,3.400E-26,3.400E-26,3.400E-26,3.400E-26
1.597E+08,2.989E-26,2.989E-26,2.989E-26,2.989E-26,2.989E-26,2.989E-26
1.814E+08,2.640E-26,2.640E-26,2.640E-26,2.640E-26,2.640E-26,2.640E-26
2.061E+08,2.334E-26,2.334E-26,2.334E-26,2.334E-26,2.334E-26,2.334E-26
2.342E+08,2.066E-26,2.066E-26,2.066E-26,2.066E-26,2.066E-26,2.066E-26
2.660E+08,1.823E-26,1.823E-26,1.823E-26,1.823E-26,1.823E-26,1.823E-26
3.022E+08,1.601E-26,1.601E-26,1.601E-26,1.601E-26,1.601E-26,1.601E-26
3.433E+08,1.400E-26,1.400E-26,1.400E-26,1.400E-26,1.400E-26,1.400E-26
3.909E+08,1.216E-26,1.216E-26,1.216E-26,1.216E-26,1.216E-26,1.216E-26
4.479E+08,1.038E-26,1.038E-26,1.038E-26,1.038E-26,1.038E-26,1.038E-26
5.267E+08,8.627E-27,8.627E-27,8.627E-27,8.627E-27,8.627E-27,8.627E-27
6.378E+08,6.633E-27,6.633E-27,6.633E-27,6.633E-27,6.633E-27,6.633E-27
7.793E+08,4.899E-27,4.899E-27,4.899E-27,4.899E-27,4.899E-27,4.899E-27
9.522E+08,3.526E-27,3.526E-27,3.526E-27,3.526E-27,3.526E-27,3.526E-27
1.164E+09,2.472E-27,2.472E-27,2.472E-27,2.472E-27,2.472E-27,2.472E-27
1.422E+09,1.694E-27,1.694E-27,1.694E-27,1.694E-27,1.694E-27,1.694E-27
1.737E+09,1.138E-27,1.138E-27,1.138E-27,1.138E-27,1.138E-27,1.138E-27
2.123E+09,7.515E-28,7.515E-28,7.515E-28,7.515E-28,7.515E-28,7.515E-28
2.594E+09,4.890E-28,4.890E-28,4.890E-28,4.890E-28,4.890E-28,4.890E-28
3.169E+09,3.150E-28,3.150E-28,3.150E-28,3.150E-28,3.150E-28,3.150E-28
3.872E+09,2.001E-28,2.001E-28,2.001E-28,2.001E-28,2.001E-28,2.001E-28
4.731E+09,1.261E-28,1.261E-28,1.261E-28,1.261E-28,1.261E-28,1.261E-28
5.781E+09,7.889E-29,7.889E-29,7.889E-29,7.889E-29,7.889E-29,7.889E-29
7.064E+09,4.917E-29,4.917E-29,4.917E-29,4.917E-29,4.917E-29,4.917E-29
8.632E+09,3.047E-29,3.047E-29,3.047E-29,3.047E-29,3.047E-29,3.047E-29
1.055E+10,1.876E-29,1.876E-29,1.876E-29,1.876E-29,1.876E-29,1.876E-29
1.289E+10,1.145E-29,1.145E-29,1.145E-29,1.145E-29,1.145E-29,1.145E-29
1.575E+10,6.951E-30,6.951E-30,6.951E-30,6.951E-30,6.951E-30,6.951E-30
1.924E+10,4.151E-30,4.151E-30,4.151E-30,4.151E-30,4.151E-30,4.151E-30
2.330E+10,2.518E-30,2.518E-30,2.518E-30,2.518E-30,2.518E-30,2.518E-30
2.757E+10,1.582E-30,1.582E-30,1.582E-30,1.582E-30,1.582E-30,1.582E-30
3.165E+10,1.066E-30,1.066E-30,1.066E-30,1.066E-30,1.066E-30,1.066E-30
3.695E+10,6.903E-31,6.903E-31,6.903E-31,6.903E-31,6.903E-31,6.903E-31
4.279E+10,4.510E-31,4.510E-31,4.510E-31,4.510E-31,4.510E-31,4.510E-31
4.865E+10,3.079E-31,3.079E-31,3.079E-31,3.079E-31,3.079E-31,3.079E-31
5.390E+10,2.235E-31,2.235E-31,2.235E-31,2.235E-31,2.235E-31,2.235E-31
6.008E+10,1.591E-31,1.591E-31,1.591E-31,1.591E-31,1.591E-31,1.591E-31
6.641E+10,1.150E-31,1.150E-31,1.150E-31,1.150E-31,1.150E-31,1.150E-31
7.274E+10,8.490E-32,8.490E-32,8.490E-32,8.490E-32,8.490E-32,8.490E-32
7.968E+10,6.243E-32,6.243E-32,6.243E-32,6.243E-32,6.243E-32,6.243E-32
