enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
# From "AGN jets as the origin of UHECRs and perspectives for the detection of astrophysical source neutrinos at EeV energies"
# X. Rodrigues, et al, PRL 126, 191101 (2021)
# https://doi.org/10.1103/PhysRevLett.126.191101, https://arxiv.org/abs/2003.08392
# Fig 2, top right panel, dashed blue line ("Source")
1.107E+08,2.916E-25,2.916E-25,2.916E-25,2.916E-25,2.916E-25,2.916E-25
1.285E+08,2.156E-25,2.156E-25,2.156E-25,2.156E-25,2.156E-25,2.156E-25
1.491E+08,1.560E-25,1.560E-25,1.560E-25,1.560E-25,1.560E-25,1.560E-25
1.730E+08,1.106E-25,1.106E-25,1.106E-25,1.106E-25,1.106E-25,1.106E-25
2.008E+08,8.107E-26,8.107E-26,8.107E-26,8.107E-26,8.107E-26,8.107E-26
2.331E+08,5.661E-26,5.661E-26,5.661E-26,5.661E-26,5.661E-26,5.661E-26
2.675E+08,3.965E-26,3.965E-26,3.965E-26,3.965E-26,3.965E-26,3.965E-26
2.986E+08,2.947E-26,2.947E-26,2.947E-26,2.947E-26,2.947E-26,2.947E-26
3.476E+08,1.999E-26,1.999E-26,1.999E-26,1.999E-26,1.999E-26,1.999E-26
4.005E+08,1.319E-26,1.319E-26,1.319E-26,1.319E-26,1.319E-26,1.319E-26
4.586E+08,9.081E-27,9.081E-27,9.081E-27,9.081E-27,9.081E-27,9.081E-27
5.011E+08,6.638E-27,6.638E-27,6.638E-27,6.638E-27,6.638E-27,6.638E-27
5.695E+08,4.360E-27,4.360E-27,4.360E-27,4.360E-27,4.360E-27,4.360E-27
6.574E+08,2.720E-27,2.720E-27,2.720E-27,2.720E-27,2.720E-27,2.720E-27
7.169E+08,2.000E-27,2.000E-27,2.000E-27,2.000E-27,2.000E-27,2.000E-27
7.860E+08,1.455E-27,1.455E-27,1.455E-27,1.455E-27,1.455E-27,1.455E-27
8.951E+08,8.979E-28,8.979E-28,8.979E-28,8.979E-28,8.979E-28,8.979E-28
1.003E+09,5.827E-28,5.827E-28,5.827E-28,5.827E-28,5.827E-28,5.827E-28
1.098E+09,4.300E-28,4.300E-28,4.300E-28,4.300E-28,4.300E-28,4.300E-28
1.152E+09,3.420E-28,3.420E-28,3.420E-28,3.420E-28,3.420E-28,3.420E-28
1.287E+09,2.129E-28,2.129E-28,2.129E-28,2.129E-28,2.129E-28,2.129E-28
1.427E+09,1.383E-28,1.383E-28,1.383E-28,1.383E-28,1.383E-28,1.383E-28
1.542E+09,1.034E-28,1.034E-28,1.034E-28,1.034E-28,1.034E-28,1.034E-28
1.652E+09,7.627E-29,7.627E-29,7.627E-29,7.627E-29,7.627E-29,7.627E-29
1.752E+09,5.382E-29,5.382E-29,5.382E-29,5.382E-29,5.382E-29,5.382E-29
1.900E+09,3.605E-29,3.605E-29,3.605E-29,3.605E-29,3.605E-29,3.605E-29
2.033E+09,2.730E-29,2.730E-29,2.730E-29,2.730E-29,2.730E-29,2.730E-29
2.140E+09,2.016E-29,2.016E-29,2.016E-29,2.016E-29,2.016E-29,2.016E-29
2.263E+09,1.448E-29,1.448E-29,1.448E-29,1.448E-29,1.448E-29,1.448E-29
2.408E+09,1.029E-29,1.029E-29,1.029E-29,1.029E-29,1.029E-29,1.029E-29
2.539E+09,7.662E-30,7.662E-30,7.662E-30,7.662E-30,7.662E-30,7.662E-30
2.710E+09,5.761E-30,5.761E-30,5.761E-30,5.761E-30,5.761E-30,5.761E-30
2.884E+09,3.630E-30,3.630E-30,3.630E-30,3.630E-30,3.630E-30,3.630E-30
3.038E+09,2.580E-30,2.580E-30,2.580E-30,2.580E-30,2.580E-30,2.580E-30
3.093E+09,2.131E-30,2.131E-30,2.131E-30,2.131E-30,2.131E-30,2.131E-30
3.401E+09,1.196E-30,1.196E-30,1.196E-30,1.196E-30,1.196E-30,1.196E-30
3.530E+09,9.205E-31,9.205E-31,9.205E-31,9.205E-31,9.205E-31,9.205E-31
3.682E+09,6.720E-31,6.720E-31,6.720E-31,6.720E-31,6.720E-31,6.720E-31
3.885E+09,5.005E-31,5.005E-31,5.005E-31,5.005E-31,5.005E-31,5.005E-31
4.016E+09,3.558E-31,3.558E-31,3.558E-31,3.558E-31,3.558E-31,3.558E-31
4.182E+09,2.594E-31,2.594E-31,2.594E-31,2.594E-31,2.594E-31,2.594E-31
4.339E+09,2.016E-31,2.016E-31,2.016E-31,2.016E-31,2.016E-31,2.016E-31
4.447E+09,1.588E-31,1.588E-31,1.588E-31,1.588E-31,1.588E-31,1.588E-31
4.660E+09,1.108E-31,1.108E-31,1.108E-31,1.108E-31,1.108E-31,1.108E-31
4.823E+09,8.253E-32,8.253E-32,8.253E-32,8.253E-32,8.253E-32,8.253E-32
5.036E+09,6.312E-32,6.312E-32,6.312E-32,6.312E-32,6.312E-32,6.312E-32
5.090E+09,4.879E-32,4.879E-32,4.879E-32,4.879E-32,4.879E-32,4.879E-32
5.336E+09,3.533E-32,3.533E-32,3.533E-32,3.533E-32,3.533E-32,3.533E-32
5.503E+09,2.616E-32,2.616E-32,2.616E-32,2.616E-32,2.616E-32,2.616E-32
5.727E+09,2.036E-32,2.036E-32,2.036E-32,2.036E-32,2.036E-32,2.036E-32
5.959E+09,1.529E-32,1.529E-32,1.529E-32,1.529E-32,1.529E-32,1.529E-32
6.110E+09,1.116E-32,1.116E-32,1.116E-32,1.116E-32,1.116E-32,1.116E-32
6.300E+09,8.204E-33,8.204E-33,8.204E-33,8.204E-33,8.204E-33,8.204E-33
6.558E+09,6.419E-33,6.419E-33,6.419E-33,6.419E-33,6.419E-33,6.419E-33
6.669E+09,5.076E-33,5.076E-33,5.076E-33,5.076E-33,5.076E-33,5.076E-33
6.922E+09,3.842E-33,3.842E-33,3.842E-33,3.842E-33,3.842E-33,3.842E-33
